Autor;Erscheinungsjahr;Titel;ISBN;Aktueller Preis
Unbekannt;1920;"""Oberdeutschland""";Unbekannt;Unbekannt
Unbekannt;1927;"""Die Gegenwart""";Unbekannt;Unbekannt
Unbekannt;1980;"""Geologica Hungarica""";Unbekannt;Unbekannt
Gerda von B�low, Aleksandra Dimitrova-Milcheva, Deutsches Arch�ologisches Institut. R�misch-Germanische Kommission;1999;"""Der Limes an der unteren Donau von Diokletian bis Heraklios""";Unbekannt;Unbekannt
Unbekannt;1956;"""Acta Universitatis Stockholmiensis""";Unbekannt;Unbekannt
Annie Ernaux;12.09.2021;"""Das Ereignis""";9783518769409;10,99
Laetitia Colombani;23.02.2022;"""Das M�dchen mit dem Drachen""";9783104914954;9,99
Unbekannt;1983;"""Studies in Mediterranean Archaeology""";Unbekannt;Unbekannt
Waldemar Oehlke;1921;"""Die deutsche literatur seit Goethes tode und ihre grundlagen""";Unbekannt;Unbekannt
Fyodor Dostoyevsky;1928;"""Die Urgestalt der Br�der Karamasoff""";Unbekannt;Unbekannt
New York University;1915;"""Ottendorfer Memorial Series of Germanic Monographs""";Unbekannt;Unbekannt
Richard Schwartz;01.08.2024;"""Invasion""";9783492995962;14,99
Janine Ukena;17.02.2022;"""Our Souls at Midnight (Seoul Dreams 1)""";9783646608502;4,99
Hwang Sok-Yong;10.05.2019;"""Die Lotosbl�te""";9783958902688;13,99
